Category;Brand;Product;Variant;SKU;Price;"Old price";"Currency ID";Weight;Stock;Units;Visible;Featured;"Meta title";"Meta keywords";"Meta description";Annotation;Description;Images;URL;to_rozetka;to__okaycms__yandex_xml_vendor_model;to__okaycms__yandex_xml;volume;Вес;Высота;Диаметр;Ткань;Предназначение;Наполнитель;"Количество наполнителя";"Объемный вес для транспортных компаний";"Производство ";Серия;Диагональ;"Тип экрана";"Разрешение экрана";Система;"Количество ядер";Процессор;"Частота процессора";"Оперативная память";"Встроенная память";"Поддержка SD карт";Sim-карт;"Размеры SIM";"GSM (2G)";3G;"LTE (4G)";WCDMA;"Основная камера";"Фронтальная камера";Вспышка;Bluetooth;GPS;A-GPS;Wi-Fi;"ИК порт";Разъемы;Аккумулятор;Размеры;Цвет;"Wi-Fi Hotspot";"Сканер отпечатков пальцев";"3G (UMTS)";Возраст;Пол;Комплектация;Материал;"Размеры упаковки";"Размер игрушки";"Страна производитель";"Тепловая мощность";"Максимальная температура теплоносителя";"Максимальное рабочее давление";"Конструкция радиатора";"Способ подключения";"Кол-во секций в радиаторе";"Объем воды в радиаторе";"Опрессовочное давление";"Способ установки";"Номинальный объем водонагревателя";"Положение установки";Форма;"Мощность ТЭНа";Гарантия;"Тип нагревательного элемента (ТЭНа)";Мощность;"Отвод газов";"Тип розжига";Производительность;"Производительность ГВС";"Модуляция мощности";"Вес (кг)";"Объем (м3)";"Габариты В.Ш.Г. (мм.)";"Мин. давление газа";Страна;"Вид мяса";Производитель;"Количество мест";"Высота сиденья";Водонепронецаемый;Автор;Язык;"Оригинальное название";Обложка;Страниц;Иллюстрации;"Год издания";Рубрика;"тип товара";"диаметр колеса";"длина хода вилки";вилка;"материал рамы";"задний переключатель";"тип заднего амортизатора";"тип тормозов";"Операционная сиситема";Память;Дисплей;Клавиатура;"Параметры сканера";"Тип штрих-кодов";PTT;Датчик;Пылевлагозащита;Ударопрочность;"Рабочая температура";"Габариты (мм)";"Ширина бумаги";"Тип корма";"Назначение корма";Порода;"Класс корма";Монтаж;Дверцы;Габариты
"Мебель для дома/Диваны";Fitbit;"Диван-кровать Max 1,2 в ткани Кордрой";зеленый;ccv6346;12900.00;;4;;;;1;0;"Диван-кровать Max 1,2 в ткани Кордрой";"Диван-кровать Max 1,2 в ткани Кордрой, Fitbit, Диваны";"Диван-кровать Max 1,2  в ткани Кордрой 336/кордрой 230  Механизм трансформации: аккордеон  Спальное место: 120х200 см  Каркас: металлический с буковыми ламелями  Наполнение матраса: ППУ 10 см";"<ul><li>Вес: <strong>90кг</strong></li><li>Тип: <strong>Аккордеон</strong></li><li>Размер: <strong>120х200 см<br /></strong></li></ul>";"<p>Диван-кровать Max 1,2&nbsp; в ткани Кордрой 336/кордрой 230</p><p>Механизм трансформации: аккордеон</p><p>Спальное место: 120х200 см</p><p>Каркас: металлический с буковыми ламелями</p><p>Наполнение матраса: ППУ 10 см</p>";"okay_couch2.jpg, okay_couch1.jpg, okay_couch3.jpg, okay_couch4.jpg";divan-krovat-max-12-v-tkani-kordroj;0;0;0;0.00000;90кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"150.9 х 115.2 х 87 cm";;;;;;;;"Буковые ламели";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Италия;2;160;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель для дома/Диваны";Fitbit;"Диван-кровать Max 1,2 в ткани Кордрой";синий;ccv6546;13900.00;;2;;;;1;0;"Диван-кровать Max 1,2 в ткани Кордрой";"Диван-кровать Max 1,2 в ткани Кордрой, Fitbit, Диваны";"Диван-кровать Max 1,2  в ткани Кордрой 336/кордрой 230  Механизм трансформации: аккордеон  Спальное место: 120х200 см  Каркас: металлический с буковыми ламелями  Наполнение матраса: ППУ 10 см";"<ul><li>Вес: <strong>90кг</strong></li><li>Тип: <strong>Аккордеон</strong></li><li>Размер: <strong>120х200 см<br /></strong></li></ul>";"<p>Диван-кровать Max 1,2&nbsp; в ткани Кордрой 336/кордрой 230</p><p>Механизм трансформации: аккордеон</p><p>Спальное место: 120х200 см</p><p>Каркас: металлический с буковыми ламелями</p><p>Наполнение матраса: ППУ 10 см</p>";"okay_couch2.jpg, okay_couch1.jpg, okay_couch3.jpg, okay_couch4.jpg";divan-krovat-max-12-v-tkani-kordroj;0;0;0;0.00000;90кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"150.9 х 115.2 х 87 cm";;;;;;;;"Буковые ламели";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Италия;2;160;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель для дома/Диваны";Fitbit;"Диван-кровать Max 1,2 в ткани Кордрой";Бежевый;ccv6586;14000.00;;2;;0;;1;0;"Диван-кровать Max 1,2 в ткани Кордрой";"Диван-кровать Max 1,2 в ткани Кордрой, Fitbit, Диваны";"Диван-кровать Max 1,2  в ткани Кордрой 336/кордрой 230  Механизм трансформации: аккордеон  Спальное место: 120х200 см  Каркас: металлический с буковыми ламелями  Наполнение матраса: ППУ 10 см";"<ul><li>Вес: <strong>90кг</strong></li><li>Тип: <strong>Аккордеон</strong></li><li>Размер: <strong>120х200 см<br /></strong></li></ul>";"<p>Диван-кровать Max 1,2&nbsp; в ткани Кордрой 336/кордрой 230</p><p>Механизм трансформации: аккордеон</p><p>Спальное место: 120х200 см</p><p>Каркас: металлический с буковыми ламелями</p><p>Наполнение матраса: ППУ 10 см</p>";"okay_couch2.jpg, okay_couch1.jpg, okay_couch3.jpg, okay_couch4.jpg";divan-krovat-max-12-v-tkani-kordroj;0;0;0;0.00000;90кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"150.9 х 115.2 х 87 cm";;;;;;;;"Буковые ламели";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Италия;2;160;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Мебель для дома/Диваны";"Britax romer";"Диван RedKing";;vby5737;45067.00;540000.00;2;;;;1;0;"Диван RedKing";"Диван RedKing, Britax romer, Диваны";;"<ul><li>Ширина: <strong>120см</strong></li><li>Глубина: <strong>80см</strong></li><li>Высота: <strong>43см </strong></li></ul>";;"okay_couch1.jpg, okay_couch2.jpg, okay_couch3.jpg, okay_couch4.jpg";divan-redking;0;0;0;0.00000;"79 кг.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;191-200см;;;;;;;;"Буковые ламели";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RedKing;нет;191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Товары для животных";"Royal Canin";"Сухой беззерновой полнорационный корм Optimeal для взрослых собак всех пород";;mnb7959;2600.00;;4;10.00;;;1;;"Сухой беззерновой полнорационный корм Optimeal для взрослых собак всех пород";"Сухой беззерновой полнорационный корм Optimeal для взрослых собак всех пород, Royal Canin, Товары для животных";"Optimeal  беззерновой для взрослых собак индейка и овощи &mdash; оптимальный корм для вашего любимца. В его состав входит уникальный микс из полезных трав, ягод, отборных мясных ингредиентов и пребиотиков. Все это создает ежедневную естественную защиту иммунитета вашей собаки, а также гарантирует здоровье и красоту вашего любимца на долгие годы.  Высокое содержание отборного мяса индейки, а также включение в рецептуру корма свежего мяса индейки в виде фарша, обеспечат вашего питомца высококачественным легко";"<ul><li>Вес: <strong>10г</strong></li><li>Тип: <strong>Сухой корм</strong></li><li>Класс: <strong>Супер премиум</strong></li></ul>";"<p><strong>Optimeal</strong> беззерновой для взрослых собак индейка и овощи &mdash; оптимальный корм для вашего любимца. В его состав входит уникальный микс из полезных трав, ягод, отборных мясных ингредиентов и пребиотиков. Все это создает ежедневную естественную защиту иммунитета вашей собаки, а также гарантирует здоровье и красоту вашего любимца на долгие годы.<br /><br />Высокое содержание отборного мяса индейки, а также включение в рецептуру корма свежего мяса индейки в виде фарша, обеспечат вашего питомца высококачественным легкоусвояемым протеином животного происхождения.<br /><br />Отсутствие злаков и глютена сохранит пищеварительную систему вашей собаки от дополнительной нагрузки, которой обычно подвергается кишечник и поджелудочная железа для переваривания таких неестественных для собак компонентов корма, как злаковая клейковина (глютен).<br /><br />Высокое содержание ягод и овощей обеспечивает организм собаки естественным источником витаминов и растительной клетчатки, что значительно улучшит работу пищеварительной системы и здоровья кишечника. Высокое содержание овощей (источников углеводов с низким гликемическим индексом) предотвратит развитие такого страшного заболевания, как сахарный диабет, а также сохранит здоровую стройную фигуру вашей собаки.<br /><br />Уникальный комплекс для поддержки и укрепления иммунитета Immunity Support Mix состоит из:<br />Специально очищенные бета-глюканы &mdash; улучшают работу иммунной системы для долгой жизни питомца.<br />Пребиотик нового поколения Actigen &mdash; нормализует баланс полезной микрофлоры кишечника и обеспечивает здоровое пищеварение.<br />Натуральный антиоксидант SubStar ULTRA на основе розмарина благодаря противомикробным и противовоспалительным свойствам &mdash; предотвращает разрушение клеток организма и заболеваниям домашних любимцев.<br /><br />OMEGA 3 и 6 / Цинк / Биотин &mdash; поддерживают кожу здоровой, а шерсть &mdash; красивой.<br />СОСТАВ:<br />дегидратированный протеин мяса индейки, не менее 39%, крахмал картофеля, мясо индейки 12%, жир из птицы, картофель cушена, тапиока, белок гидролизованный животный, зеленый горошек 4,11%, масло лосося, мякоть свеклы , растительная клетчатка, минералы, тыква 1%, морковь 0,79%, семян льна 0,79%, пивные дрожжи, клюква 0,2%, масло огуречника, MacroGard&reg; (источник &beta;-глюкан) 0,05%, Actigen &trade; (источник пребиотик &mdash; мананоолигосахариды) 0,04%, бархатцы (источник лютеина) 0,04%, корень лопуха, корень алтея, цветы ромашки 0,03%, крапива 0,03%, экстракт юкки, тимьян 0,015 %.<br /><br />Питательная ценность (анализ) корма:<br /><br />сырой белок 32%, сырые масло и жири- 16%, сырая зола- 5,9%, сырая клитковина- 2,6%.<br /><br />На 1 кг корма: омега-3 жирные кислоты- 6,4 г, в т. Ч. EPA / DHA- 3,8 г омега-6 жирные кислоты- 27,6 г.<br /><br />Добавлено добавки: Питательные добавки (на 1 кг корма), мг / кг:<br /><br />витамин А: 15000 МЕ, витамин Д3: 800 МЕ, витамин Е 500, витамин С 200, витамин B6 2,22, витамин Н (биотин): 0,14, таурин: 1100, цинк: 104,96 , медь: 11,24, марганец: 2,57, селен: 0,08.<br /><br />Технологические добавки (на 1 кг корма), мг / кг: антиоксидант природного происхождения: 330, экстракт токоферола природного происхождения: 600.<br /><br />Энергетическая ценность (калорийность) 100 г корма: 1 628,16 кДж (389,15 ккал).<br /><br />Хранить в темном месте закрытой потребительской таре при температуре от +5 &deg; С до +25 &deg; С и относительной влажности не более 75%</p>";okay_animal6.jpg;suhoj-bezzernovoj-polnoratsionnyj-korm-optimeal-dlya-vzroslyh-sobak-vseh-porod;0;0;0;;10кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"От 1 года";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Сухой корм";"Для крупных пород";"Всех видов";"Супер премиум";;;
"Товары для животных";"Royal Canin";"Сухой беззерновой полнорационный корм Optimeal для взрослых собак всех пород";;;0.00;;2;;;;1;;"Сухой беззерновой полнорационный корм Optimeal для взрослых собак всех пород";"Сухой беззерновой полнорационный корм Optimeal для взрослых собак всех пород, Royal Canin, Товары для животных";"Optimeal  беззерновой для взрослых собак индейка и овощи &mdash; оптимальный корм для вашего любимца. В его состав входит уникальный микс из полезных трав, ягод, отборных мясных ингредиентов и пребиотиков. Все это создает ежедневную естественную защиту иммунитета вашей собаки, а также гарантирует здоровье и красоту вашего любимца на долгие годы.  Высокое содержание отборного мяса индейки, а также включение в рецептуру корма свежего мяса индейки в виде фарша, обеспечат вашего питомца высококачественным легко";"<ul><li>Вес: <strong>10г</strong></li><li>Тип: <strong>Сухой корм</strong></li><li>Класс: <strong>Супер премиум</strong></li></ul>";"<p><strong>Optimeal</strong> беззерновой для взрослых собак индейка и овощи &mdash; оптимальный корм для вашего любимца. В его состав входит уникальный микс из полезных трав, ягод, отборных мясных ингредиентов и пребиотиков. Все это создает ежедневную естественную защиту иммунитета вашей собаки, а также гарантирует здоровье и красоту вашего любимца на долгие годы.<br /><br />Высокое содержание отборного мяса индейки, а также включение в рецептуру корма свежего мяса индейки в виде фарша, обеспечат вашего питомца высококачественным легкоусвояемым протеином животного происхождения.<br /><br />Отсутствие злаков и глютена сохранит пищеварительную систему вашей собаки от дополнительной нагрузки, которой обычно подвергается кишечник и поджелудочная железа для переваривания таких неестественных для собак компонентов корма, как злаковая клейковина (глютен).<br /><br />Высокое содержание ягод и овощей обеспечивает организм собаки естественным источником витаминов и растительной клетчатки, что значительно улучшит работу пищеварительной системы и здоровья кишечника. Высокое содержание овощей (источников углеводов с низким гликемическим индексом) предотвратит развитие такого страшного заболевания, как сахарный диабет, а также сохранит здоровую стройную фигуру вашей собаки.<br /><br />Уникальный комплекс для поддержки и укрепления иммунитета Immunity Support Mix состоит из:<br />Специально очищенные бета-глюканы &mdash; улучшают работу иммунной системы для долгой жизни питомца.<br />Пребиотик нового поколения Actigen &mdash; нормализует баланс полезной микрофлоры кишечника и обеспечивает здоровое пищеварение.<br />Натуральный антиоксидант SubStar ULTRA на основе розмарина благодаря противомикробным и противовоспалительным свойствам &mdash; предотвращает разрушение клеток организма и заболеваниям домашних любимцев.<br /><br />OMEGA 3 и 6 / Цинк / Биотин &mdash; поддерживают кожу здоровой, а шерсть &mdash; красивой.<br />СОСТАВ:<br />дегидратированный протеин мяса индейки, не менее 39%, крахмал картофеля, мясо индейки 12%, жир из птицы, картофель cушена, тапиока, белок гидролизованный животный, зеленый горошек 4,11%, масло лосося, мякоть свеклы , растительная клетчатка, минералы, тыква 1%, морковь 0,79%, семян льна 0,79%, пивные дрожжи, клюква 0,2%, масло огуречника, MacroGard&reg; (источник &beta;-глюкан) 0,05%, Actigen &trade; (источник пребиотик &mdash; мананоолигосахариды) 0,04%, бархатцы (источник лютеина) 0,04%, корень лопуха, корень алтея, цветы ромашки 0,03%, крапива 0,03%, экстракт юкки, тимьян 0,015 %.<br /><br />Питательная ценность (анализ) корма:<br /><br />сырой белок 32%, сырые масло и жири- 16%, сырая зола- 5,9%, сырая клитковина- 2,6%.<br /><br />На 1 кг корма: омега-3 жирные кислоты- 6,4 г, в т. Ч. EPA / DHA- 3,8 г омега-6 жирные кислоты- 27,6 г.<br /><br />Добавлено добавки: Питательные добавки (на 1 кг корма), мг / кг:<br /><br />витамин А: 15000 МЕ, витамин Д3: 800 МЕ, витамин Е 500, витамин С 200, витамин B6 2,22, витамин Н (биотин): 0,14, таурин: 1100, цинк: 104,96 , медь: 11,24, марганец: 2,57, селен: 0,08.<br /><br />Технологические добавки (на 1 кг корма), мг / кг: антиоксидант природного происхождения: 330, экстракт токоферола природного происхождения: 600.<br /><br />Энергетическая ценность (калорийность) 100 г корма: 1 628,16 кДж (389,15 ккал).<br /><br />Хранить в темном месте закрытой потребительской таре при температуре от +5 &deg; С до +25 &deg; С и относительной влажности не более 75%</p>";okay_animal6.jpg;suhoj-bezzernovoj-polnoratsionnyj-korm-optimeal-dlya-vzroslyh-sobak-vseh-porod;0;0;0;;10кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"От 1 года";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Сухой корм";"Для крупных пород";"Всех видов";"Супер премиум";;;
"Товары для животных";"Royal Canin";"Сухой корм для взрослых собак Club 4 paws для крупных пород";;mnc573;1400.00;1540.00;4;;;;1;0;"Сухой корм для взрослых собак Club 4 paws для крупных пород";"Сухой корм для взрослых собак Club 4 paws для крупных пород, Royal Canin, Товары для животных";;"<ul><li>Вес:&nbsp;<strong>13г.</strong></li><li>Тип: <strong>Сухой корм</strong></li><li>Класс: <strong>Супер премиум</strong></li></ul>";;okay_animal4.jpg;suhoj-korm-dlya-vzroslyh-sobak-club-4-paws-dlya-krupnyh-porod;0;0;0;;13г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"От 12 мес.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Сухой корм";"Для крупных пород";"Для всех";Эконом;;;
"Товары для животных";"Royal Canin";"Royal Canin British Shorthair Kitten сухой корм для котят породы британская короткошерстная";;mm7327;7800.00;;4;;;;1;0;"Royal Canin British Shorthair Kitten сухой корм для котят породы британская короткошерстная";"Royal Canin British Shorthair Kitten сухой корм для котят породы британская короткошерстная, Royal Canin, Товары для животных";"СПЕЦИАЛЬНО ДЛЯ КОШЕК С БОЛЬШИМИ ЧЕЛЮСТЯМИ   Специально разработанные крокеты кубической формы, которые адаптированы к большим квадратным челюстям кошек породы британская. Уникальная форма крокет стимулирует животное к их разгрызанию, что способствует поддержанию гигиены ротовой полости.   ЭКСКЛЮЗИВНАЯ ФОРМУЛА:   Таурин и омега-3 жирные кислоты   ЗДОРОВЬЕ СУСТАВОВ   Вследствие большого размера и веса кошки породы персидский ее суставы подвергаются значительной нагрузке на протяжении всей жизни животного. Фор";"<ul><li>Вес: <strong>10г</strong></li><li>Тип: <strong>Сухой корм</strong></li><li>Класс: <strong>Супер премиум</strong></li></ul>";"<p><strong>СПЕЦИАЛЬНО ДЛЯ КОШЕК С БОЛЬШИМИ ЧЕЛЮСТЯМИ</strong><br /><br />Специально разработанные крокеты кубической формы, которые адаптированы к большим квадратным челюстям кошек породы британская. Уникальная форма крокет стимулирует животное к их разгрызанию, что способствует поддержанию гигиены ротовой полости.<br /><br /><strong>ЭКСКЛЮЗИВНАЯ ФОРМУЛА:</strong><br /><br />Таурин и омега-3 жирные кислоты<br /><br /><strong>ЗДОРОВЬЕ СУСТАВОВ</strong><br /><br />Вследствие большого размера и веса кошки породы персидский ее суставы подвергаются значительной нагрузке на протяжении всей жизни животного. Формула рациона способствует поддержанию здорового состояния костей и суставов. Рацион обогащен омега-3 жирными кислотами (ЭПК и ДГК).<br /><br /><strong>ЗДОРОВЬЕ СЕРДЦА</strong><br /><br />Рацион обогащен такими питательными веществами, как таурин, ЭПК и ДГК, которые способствуют поддержанию здоровой работы сердца.<br /><br /><strong>ЗДОРОВЬЕ КОЖИ И БЛЕСК ШЕРСТИ</strong><br /><br />Серосодержащие аминокислоты, витамины, омега-3 и омега-6 жирные кислоты способствуют поддержанию здоровья кожи и блеска шерсти.<br /><br /><strong>ЗДОРОВЬЕ МОЧЕВЫДЕЛИТЕЛЬНОЙ СИСТЕМЫ</strong><br /><br />Соответствующий баланс минеральных веществ в рационе способствует поддержанию здоровья мочевыделительной системы взрослых кошек.<br /><br />персидский является крупнейшим и самым длинным котом в мире, благодаря чему он производит впечатление чрезвычайной мощи и силы. британская может достигать 1 м в длину (вместе с хвостом), а вес котов этой породы может достигать 10-12 кг. Учитывая большой размер и тяжелый костяк особое внимание следует уделять защите суставов кошек этой породы.</p>";okay_animal3.jpg;royal-canin-british-shorthair-kitten-suhoj-korm-dlya-kotyat-porody-britanskaya-korotkosherstnaya;0;0;0;;10г;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Для котят";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Сухой корм";"Для крупных пород";Британская;Премиум;;;
"Товары для животных";"Royal Canin";"Royal Canin Persian Adult сухой корм для котов персидской породы";;mn954;1300.00;;4;;;;1;;"Royal Canin Persian Adult сухой корм для котов персидской породы";"Royal Canin Persian Adult сухой корм для котов персидской породы, Royal Canin, Товары для животных";"СПЕЦИАЛЬНО ДЛЯ КОШЕК С БОЛЬШИМИ ЧЕЛЮСТЯМИ   Специально разработанные крокеты кубической формы, которые адаптированы к большим квадратным челюстям кошек породы британская. Уникальная форма крокет стимулирует животное к их разгрызанию, что способствует поддержанию гигиены ротовой полости.   ЭКСКЛЮЗИВНАЯ ФОРМУЛА:   Таурин и омега-3 жирные кислоты   ЗДОРОВЬЕ СУСТАВОВ   Вследствие большого размера и веса кошки породы персидский ее суставы подвергаются значительной нагрузке на протяжении всей жизни животного. Фор";"<ul><li>Вес: <strong>11г</strong></li><li>Тип: <strong>Сухой корм</strong></li><li>Класс: <strong>Супер премиум</strong></li></ul>";"<p><strong>СПЕЦИАЛЬНО ДЛЯ КОШЕК С БОЛЬШИМИ ЧЕЛЮСТЯМИ</strong><br /><br />Специально разработанные крокеты кубической формы, которые адаптированы к большим квадратным челюстям кошек породы британская. Уникальная форма крокет стимулирует животное к их разгрызанию, что способствует поддержанию гигиены ротовой полости.<br /><br /><strong>ЭКСКЛЮЗИВНАЯ ФОРМУЛА:</strong><br /><br />Таурин и омега-3 жирные кислоты<br /><br /><strong>ЗДОРОВЬЕ СУСТАВОВ</strong><br /><br />Вследствие большого размера и веса кошки породы персидский ее суставы подвергаются значительной нагрузке на протяжении всей жизни животного. Формула рациона способствует поддержанию здорового состояния костей и суставов. Рацион обогащен омега-3 жирными кислотами (ЭПК и ДГК).<br /><br /><strong>ЗДОРОВЬЕ СЕРДЦА</strong><br /><br />Рацион обогащен такими питательными веществами, как таурин, ЭПК и ДГК, которые способствуют поддержанию здоровой работы сердца.<br /><br /><strong>ЗДОРОВЬЕ КОЖИ И БЛЕСК ШЕРСТИ</strong><br /><br />Серосодержащие аминокислоты, витамины, омега-3 и омега-6 жирные кислоты способствуют поддержанию здоровья кожи и блеска шерсти.<br /><br /><strong>ЗДОРОВЬЕ МОЧЕВЫДЕЛИТЕЛЬНОЙ СИСТЕМЫ</strong><br /><br />Соответствующий баланс минеральных веществ в рационе способствует поддержанию здоровья мочевыделительной системы взрослых кошек.<br /><br />персидский является крупнейшим и самым длинным котом в мире, благодаря чему он производит впечатление чрезвычайной мощи и силы. британская может достигать 1 м в длину (вместе с хвостом), а вес котов этой породы может достигать 10-12 кг. Учитывая большой размер и тяжелый костяк особое внимание следует уделять защите суставов кошек этой породы.</p>";okay_animal2.jpg;royal-canin-persian-adult-suhoj-korm-dlya-kotov-persidskoj-porody;0;0;0;;10г;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"От 12 мес.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Сухой корм";"Для крупных пород";Персидский;Премиум;;;
"Товары для животных";"Royal Canin";"Royal Canin Maine Coon Adult сухой корм для котов породы мейн-кун";;mn953;2300.00;;4;;;;1;;"Royal Canin Maine Coon Adult сухой корм для котов породы мейн-кун";"Royal Canin Maine Coon Adult сухой корм для котов породы мейн-кун, Royal Canin, Товары для животных";"СПЕЦИАЛЬНО ДЛЯ КОШЕК С БОЛЬШИМИ ЧЕЛЮСТЯМИ   Специально разработанные крокеты кубической формы, которые адаптированы к большим квадратным челюстям кошек породы мейн-кун. Уникальная форма крокет стимулирует животное к их разгрызанию, что способствует поддержанию гигиены ротовой полости.   ЭКСКЛЮЗИВНАЯ ФОРМУЛА:   Таурин и омега-3 жирные кислоты   ЗДОРОВЬЕ СУСТАВОВ   Вследствие большого размера и веса кошки породы мейн-кун ее суставы подвергаются значительной нагрузке на протяжении всей жизни животного. Формула";"<ul><li>Вес: <strong>10г</strong></li><li>Тип: <strong>Сухой корм</strong></li><li>Класс: <strong>Супер премиум</strong></li></ul>";"<p><strong>СПЕЦИАЛЬНО ДЛЯ КОШЕК С БОЛЬШИМИ ЧЕЛЮСТЯМИ</strong><br /><br />Специально разработанные крокеты кубической формы, которые адаптированы к большим квадратным челюстям кошек породы мейн-кун. Уникальная форма крокет стимулирует животное к их разгрызанию, что способствует поддержанию гигиены ротовой полости.<br /><br /><strong>ЭКСКЛЮЗИВНАЯ ФОРМУЛА:</strong><br /><br />Таурин и омега-3 жирные кислоты<br /><br /><strong>ЗДОРОВЬЕ СУСТАВОВ</strong><br /><br />Вследствие большого размера и веса кошки породы мейн-кун ее суставы подвергаются значительной нагрузке на протяжении всей жизни животного. Формула рациона способствует поддержанию здорового состояния костей и суставов. Рацион обогащен омега-3 жирными кислотами (ЭПК и ДГК).<br /><br /><strong>ЗДОРОВЬЕ СЕРДЦА</strong><br /><br />Рацион обогащен такими питательными веществами, как таурин, ЭПК и ДГК, которые способствуют поддержанию здоровой работы сердца.<br /><br /><strong>ЗДОРОВЬЕ КОЖИ И БЛЕСК ШЕРСТИ</strong><br /><br />Серосодержащие аминокислоты, витамины, омега-3 и омега-6 жирные кислоты способствуют поддержанию здоровья кожи и блеска шерсти.<br /><br /><strong>ЗДОРОВЬЕ МОЧЕВЫДЕЛИТЕЛЬНОЙ СИСТЕМЫ</strong><br /><br />Соответствующий баланс минеральных веществ в рационе способствует поддержанию здоровья мочевыделительной системы взрослых кошек.<br /><br />Мейн-кун<br /><br />Мейн-кун является крупнейшим и самым длинным котом в мире, благодаря чему он производит впечатление чрезвычайной мощи и силы. Мейн-кун может достигать 1 м в длину (вместе с хвостом), а вес котов этой породы может достигать 10-12 кг. Учитывая большой размер и тяжелый костяк особое внимание следует уделять защите суставов кошек этой породы.</p>";okay_animal.jpg;royal-canin-maine-coon-adult-suhoj-korm-dlya-kotov-porody-mejn-kun;0;0;0;;12г;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"От 12 мес.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Сухой корм";"Для крупных пород";Персидский;Премиум;;;
