Категория;"Название товара";Сумма;Количество
Большая;"Факсимильный аппарат Panasonic KX-FC258RU";91573.95;1
Большая;"Радиотелефон Dect Panasonic KX-TCD815";69593.55;1
Большая;"Компрессор Remeza СБ4С270.АВ670";54509.00;1
Большая;"Коммуникатор ASUS MyPal A639";53148.55;1
Большая;"Мотобур STIHL BT 360";25350.00;1
Большая;"Виброплита Сплитстоун VS-244";4333.55;1
Большая;"Бензобур Pacme EL-ED1700";564.85;1
Большая;"IP-телефон D-link DPH-400S";269.75;1
Большая;"Манеж BERTONI ARENA 2+ уровня";261.95;1
Большая;"Радиостанция Motorola TLKR-T4";86.45;1
Большая;"Проводной телефон LG GS-475 RUS WA";76.70;1
Итого;" ";299768.3;11
